	B.cells.naive	B.cells.memory	Plasma.cells	T.cells.CD8	T.cells.CD4.naive	T.cells.CD4.memory.activated	T.cells.follicular.helper	T.cells.regulatory.Tregs.	T.cells.gamma.delta	NK.cells.resting	Macrophages.M1	GEP	IMPRES	SZABO	TIDE	TMB	TCR_Richness	TCR_Evenness	TCR_Shannon	BCR_Richness	BCR_Evenness	BCR_Shannon
TCGA.38.7271.01A	0	0.00682614276283642	0.000242469687750368	0.00286458289211926	0.000388496709612731	0.000530354922389812	0	0.000746184901004763	0	0	0.000445975914061809	26.819774412195	9	0.474994691623003	-2.65426315024148	92	1	1	1	1	1	1
TCGA.44.2659.01A	0	0	0.00414105630451299	0.0012707160319937	0	0	0.000182303748345676	0.000609775891993334	0	0	0.000918888332018547	23.1676622286635	8	0.218642615758062	-2.62411181673852	553	1	1	1	1	1	1
TCGA.44.4112.01A	0	0	0.000263702414786963	0	0	0	0	0	0	0	1.48946601525313e-05	6.26548182971406	8	-2.12109269723068	-2.61921294396981	581	1	1	1	1	1	1
TCGA.44.4112.01B	0.00016106677973403	0	0.000736124848464965	0	0.000138367778032985	0	0	0	0	0	3.27735676931406e-05	16.0636281854814	9	-0.123496601125096	-2.61800448336342	NA	1	1	1	1	1	1
TCGA.44.6146.01A	0	0	0	0	0	0	4.0972841722349e-05	0	0	0	2.77351713133022e-05	7.82779768695924	8	-1.61761544016564	-2.50930527216025	36	1	1	1	1	1	1
TCGA.44.6146.01B	0	0	1.13472007246816e-05	0	0	2.27535196926383e-06	0	0	0	0	0.000122202052219195	13.9196285342402	7	-0.269681876815587	-2.49462847802761	NA	1	1	1	1	1	1
TCGA.44.6774.01A	0	0	0.00184860755555034	0	0	9.71554079081553e-05	0.000150939277204488	0.000423787565912205	0	0	0.000288720201044911	20.073084531332	9	-0.178500207470803	-2.42271133593824	379	1	1	1	1	1	1
TCGA.44.7669.01A	0	0	0.000546473655691893	0.000212062390993807	0	0.000141134396942399	0.000296604138123562	0	0	0.000309171852018896	0.0010524038083326	22.8336865047604	8	0.899758599379541	-2.13083650975035	593	1	1	1	1	1	1
TCGA.44.7670.01A	0	0.000138892252435654	5.92596998802183e-06	0.00018742439771296	0	0.000337502844312116	8.52399696677093e-05	0	0	0	0.000340054367023983	18.0145881103771	11	0.0451314170002177	-2.06912593875303	1426	1	1	1	1	1	1
TCGA.44.8117.01A	0	0	0.000927053798400754	0.000120673014401899	0	0.000304352417072938	6.05671806965492e-05	0	0	5.04174343391992e-06	0.000207376088106086	17.5045846331224	9	-0.392026726853841	-1.97700582785486	982	1	1	1	1	1	1
TCGA.49.4490.01A	3.19767492655521e-05	3.12033981248458e-05	1.71477845671908e-05	0	0	0	5.08019598028322e-05	0.000613646155780223	0	0	0.000183314785978428	16.2595629643733	8	-0.978825503312059	-1.94155508229689	65	1	1	1	1	1	1
TCGA.49.6743.01A	0	0	0.00173423054769363	0.000479733428282613	0	0.000116350226326888	0	0.000172649927079858	0	0.000147329223191615	0.000446078063102945	22.2909723044739	8	0.450761761492958	-1.84424699459579	991	1	1	1	1	1	1
